CWDI	CW_identity
1.54108648475387	CW-tuned
-0.188389301837416	non-CW-tuned
-0.877995358873595	non-CW-tuned
0.562728209673086	CW-tuned
-1	distant non-CW-tuned
0.222177443461303	CW-tuned
0.153227487888632	CW-tuned
-0.478890997992761	distant non-CW-tuned
-0.943568116434962	non-CW-tuned
-0.502476401259671	non-CW-tuned
0.379651499487105	distant non-CW-tuned
-0.337383997220185	non-CW-tuned
-0.769853340222927	non-CW-tuned
-0.586809074524448	non-CW-tuned
-1	non-CW-tuned
-0.0759375096653592	non-CW-tuned
0.00764518295495031	CW-tuned
0.798091600770307	CW-tuned
-0.756759634889508	non-CW-tuned
-0.681221930272168	non-CW-tuned
-1	distant non-CW-tuned
1.87659729955638	CW-tuned
-56.8473038709344	CW-tuned
0.308189572032198	CW-tuned
0.0814983669638309	CW-tuned
0.0589454411238952	CW-tuned
-0.886676063320412	distant non-CW-tuned
-0.562044281170368	non-CW-tuned
0.459372654615351	CW-tuned
0.140068683835747	CW-tuned
-0.868953009455828	non-CW-tuned
0.590147121154368	CW-tuned
-0.19556796630194	non-CW-tuned
-0.628287706261568	non-CW-tuned
0.147547818387618	CW-tuned
0.0631396199881049	distant non-CW-tuned
0.254258191959807	distant non-CW-tuned
-1	distant non-CW-tuned
-1	non-CW-tuned
0.696481895749545	CW-tuned
0.337508402272221	CW-tuned
-1	distant non-CW-tuned
0.792533484530668	distant non-CW-tuned
-1	distant non-CW-tuned
-1	non-CW-tuned
0.889131180711587	distant non-CW-tuned
0.00912862269350526	CW-tuned
0.546631311117143	CW-tuned
-1	distant non-CW-tuned
-0.455508384065411	distant non-CW-tuned
2.43809606451329	CW-tuned
1.00645699770765	CW-tuned
-0.741893136380672	non-CW-tuned
-1	non-CW-tuned
-0.349060759742501	non-CW-tuned
-0.752006082891219	non-CW-tuned
-0.75318138273245	non-CW-tuned
-1	non-CW-tuned
-1	distant non-CW-tuned
-0.993748236189951	non-CW-tuned
-1	non-CW-tuned
0.118093675176325	CW-tuned
0.114838666688756	CW-tuned
0.826675577704794	CW-tuned
0.054929227397572	CW-tuned
0.823570036617257	CW-tuned
0.224132260075578	CW-tuned
-0.210256379153206	non-CW-tuned
0.397799145867418	CW-tuned
48.9693208890786	distant non-CW-tuned
0.748620714314758	CW-tuned
-384.669936212402	distant non-CW-tuned
0.414947904550857	CW-tuned
0.569022510133126	CW-tuned
0.833914535319971	CW-tuned
-1	distant non-CW-tuned
0.0858398506665941	CW-tuned
-0.30721940913318	non-CW-tuned
0.694044624072145	CW-tuned
0.930062944120461	CW-tuned
0.609992879148735	CW-tuned
0.4071996435085	CW-tuned
0.641477036962747	CW-tuned
0.478858362601694	CW-tuned
0.490772407426152	CW-tuned
0.289071907756699	CW-tuned
0.672456748037528	CW-tuned
0.440849451265851	CW-tuned
0.830935480347533	CW-tuned
0.699491995101344	CW-tuned
0.389403130807309	CW-tuned
-0.300418977660735	non-CW-tuned
0.133095536169427	CW-tuned
0.0664417383643509	CW-tuned
-0.295548611224714	non-CW-tuned
0.815882963065111	CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
0.772974402469664	CW-tuned
1.02129212823625	CW-tuned
0.656327950198657	CW-tuned
-0.337366717169057	non-CW-tuned
1.00777917142895	CW-tuned
0.929274551095106	CW-tuned
1.03389272776469	CW-tuned
0.228706926073791	CW-tuned
-0.688418870453792	distant non-CW-tuned
-0.38433401827306	distant non-CW-tuned
0.0183925956560222	CW-tuned
0.149388998623102	distant non-CW-tuned
1.10311751494712	CW-tuned
0.777120737611442	CW-tuned
-0.276076167590103	non-CW-tuned
0.447203024322249	CW-tuned
0.801610320151745	CW-tuned
-0.935430712347494	non-CW-tuned
-1	non-CW-tuned
-0.216525798451426	non-CW-tuned
1.02116962797657	CW-tuned
-0.0120435013608274	non-CW-tuned
-1	distant non-CW-tuned
-1	distant non-CW-tuned
0.552923549134717	CW-tuned
-0.475919735846384	non-CW-tuned
0.279891341801029	CW-tuned
0.579220570373383	CW-tuned
1.80314781621714	CW-tuned
-0.252991011575773	non-CW-tuned
0.478068005103865	CW-tuned
-1	distant non-CW-tuned
-0.00285912137661547	non-CW-tuned
0.771272473466417	CW-tuned
-0.16405540942392	non-CW-tuned
-0.0050093564861426	non-CW-tuned
-1	non-CW-tuned
1.51324551322538	CW-tuned
0.851596750676434	CW-tuned
-1	non-CW-tuned
-0.937405197338722	non-CW-tuned
-0.622657496609255	non-CW-tuned
-1	non-CW-tuned
1.28699857613404	CW-tuned
-1	distant non-CW-tuned
1.29687604532986	CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
0.862565213281001	CW-tuned
-1	non-CW-tuned
-1	distant non-CW-tuned
-1	distant non-CW-tuned
-1	distant non-CW-tuned
-1	distant non-CW-tuned
1.19771651128857	CW-tuned
0.696792927610886	CW-tuned
-0.841147706483758	non-CW-tuned
-1	non-CW-tuned
-0.704803429612872	non-CW-tuned
-1	distant non-CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
-0.861388843593966	non-CW-tuned
0.18555201755645	distant non-CW-tuned
0.365811800666255	CW-tuned
0.678659151234753	CW-tuned
0.0878339580319168	CW-tuned
-1	non-CW-tuned
0.230706907414013	CW-tuned
0.0953628575899499	CW-tuned
1.39033507537723	CW-tuned
0.992970463845407	distant non-CW-tuned
0.8212449453971	CW-tuned
1.21003753088853	CW-tuned
0.47599187142815	CW-tuned
-0.774883857078892	non-CW-tuned
0.417520886839216	CW-tuned
-1	distant non-CW-tuned
1.39115407324177	CW-tuned
0.825210607372532	CW-tuned
0.261951866383597	CW-tuned
1.30384749418506	CW-tuned
-0.894157453132717	non-CW-tuned
0.28183934686129	CW-tuned
-1	distant non-CW-tuned
-1	non-CW-tuned
-0.847969063130374	non-CW-tuned
-1	non-CW-tuned
-0.732273443600914	non-CW-tuned
-1	non-CW-tuned
-0.686765052542914	non-CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
-1	distant non-CW-tuned
-1	non-CW-tuned
-0.289164440016919	non-CW-tuned
0.418145821226033	CW-tuned
0.0441381635425689	distant non-CW-tuned
-0.881022698216454	non-CW-tuned
-0.456328853941472	non-CW-tuned
-0.981742342980806	non-CW-tuned
-1	non-CW-tuned
0.363692303926746	CW-tuned
-0.631664377265631	non-CW-tuned
-1	distant non-CW-tuned
0.294615650159094	CW-tuned
0.223634961996603	CW-tuned
0.292736637185802	CW-tuned
-1	non-CW-tuned
-1	non-CW-tuned
-0.839432059354335	non-CW-tuned
-1	non-CW-tuned
