CWDI,CW_identity
0.932708842195096,CW-tuned
-0.188389301837416,non-CW-tuned
-0.877995358873595,non-CW-tuned
0.562728209673086,CW-tuned
-1,non-CW-tuned
0.222177443461303,CW-tuned
-0.0286459522986347,CW-tuned
-0.566492405070243,CW-tuned
-0.943568116434962,non-CW-tuned
-0.502476401259671,non-CW-tuned
-0.0194163193974995,CW-tuned
-0.337383997220185,non-CW-tuned
-0.769853340222927,non-CW-tuned
-0.586809074524448,non-CW-tuned
-1,non-CW-tuned
-0.0759375096653592,CW-tuned
0.00764518295495031,CW-tuned
0.553244614930415,CW-tuned
-0.756759634889508,non-CW-tuned
-0.681221930272168,non-CW-tuned
-1,non-CW-tuned
0.480746141628801,CW-tuned
-0.267666839966908,CW-tuned
0.308189572032198,CW-tuned
0.0814983669638309,CW-tuned
0.0589454411238952,CW-tuned
-0.886676063320412,non-CW-tuned
-0.562044281170368,non-CW-tuned
0.459372654615351,CW-tuned
0.140068683835747,CW-tuned
-0.868953009455828,non-CW-tuned
0.590147121154368,CW-tuned
-0.19556796630194,CW-tuned
-0.628287706261568,non-CW-tuned
0.147547818387618,CW-tuned
-0.250507274028725,CW-tuned
0.0427726001443075,CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
0.657643749464293,CW-tuned
0.337508402272221,CW-tuned
-1,non-CW-tuned
-0.370889188201686,non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-0.118464605796747,CW-tuned
0.00912862269350526,CW-tuned
0.546631311117143,CW-tuned
-1,non-CW-tuned
-0.70304965434937,non-CW-tuned
0.496902951898636,CW-tuned
0.997733910824614,CW-tuned
-0.741893136380672,non-CW-tuned
-1,non-CW-tuned
-0.349060759742501,non-CW-tuned
-0.761045487339472,non-CW-tuned
-0.75318138273245,non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-0.993748236189951,non-CW-tuned
-1,non-CW-tuned
0.118093675176325,CW-tuned
0.114838666688756,CW-tuned
0.615976964210573,CW-tuned
0.054929227397572,CW-tuned
0.823570036617257,CW-tuned
0.224132260075578,CW-tuned
-0.210256379153206,non-CW-tuned
0.397799145867418,CW-tuned
-0.0168319245109693,CW-tuned
0.512441889232951,CW-tuned
-0.0725522744286898,CW-tuned
0.414947904550857,CW-tuned
0.569022510133126,CW-tuned
0.833914535319971,CW-tuned
-1,non-CW-tuned
0.0858398506665941,CW-tuned
-0.30721940913318,non-CW-tuned
0.659386947963391,CW-tuned
0.853550521077083,CW-tuned
0.609992879148735,CW-tuned
0.4071996435085,CW-tuned
0.641477036962747,CW-tuned
0.478858362601694,CW-tuned
