CWDI,CW_identity
-0.98868877657365,non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-0.0966740725339733,non-CW-tuned
0.257688521636833,CW-tuned
-1,distant non-CW-tuned
-0.821392424599033,distant non-CW-tuned
-0.859020207453835,distant non-CW-tuned
-0.222887567953102,non-CW-tuned
0.139035182862287,CW-tuned
-1,non-CW-tuned
0.474089204828411,CW-tuned
-0.120378452470239,non-CW-tuned
-0.310233600159547,distant non-CW-tuned
0.478565541141208,CW-tuned
0.577516137174091,CW-tuned
-0.732649758908203,distant non-CW-tuned
-0.76248600438345,non-CW-tuned
-1,distant non-CW-tuned
0.000326437821653945,CW-tuned
-0.302654237765169,non-CW-tuned
0.831283583856373,CW-tuned
0.872080868570914,CW-tuned
0.562126398840881,CW-tuned
0.226316867815067,CW-tuned
0.49463769210049,CW-tuned
-0.64223503630028,non-CW-tuned
NaN,distant non-CW-tuned
-0.28963057795484,non-CW-tuned
0.885402411171378,CW-tuned
0.127791767119154,distant non-CW-tuned
-1,distant non-CW-tuned
0.498981237204123,CW-tuned
0.242187765272389,CW-tuned
-1,non-CW-tuned
1,CW-tuned
0.435224490370768,CW-tuned
-0.7217974896703,non-CW-tuned
0.431710542201635,distant non-CW-tuned
0.891696004238431,CW-tuned
0.82623664168426,CW-tuned
0.733886073261536,CW-tuned
1,CW-tuned
0.99783427251532,CW-tuned
0.5913228030967,CW-tuned
-1,non-CW-tuned
0.583922309108499,CW-tuned
-1,distant non-CW-tuned
-0.0636760440090659,non-CW-tuned
0.372888041915713,CW-tuned
-1,non-CW-tuned
-0.425879213389523,non-CW-tuned
1,CW-tuned
0.488192510466658,CW-tuned
0.0427257476314268,CW-tuned
0.550083109820777,distant non-CW-tuned
-1,distant non-CW-tuned
0.0473718312875819,distant non-CW-tuned
0.391211717726289,CW-tuned
0.444139550438291,CW-tuned
0.129140693163728,CW-tuned
0.602869958260822,CW-tuned
1,CW-tuned
0.556844851073685,CW-tuned
0.63739089520143,CW-tuned
0.958452261635901,CW-tuned
1,CW-tuned
1,CW-tuned
0.801368712174445,CW-tuned
0.4291933195947,CW-tuned
0.741745433524104,CW-tuned
0.11592114814069,CW-tuned
-0.611142381437851,distant non-CW-tuned
0.906270682777001,CW-tuned
0.63740627733226,CW-tuned
-0.616581824540487,non-CW-tuned
-0.137795330603029,non-CW-tuned
0.852684715696013,CW-tuned
-0.585708352204159,non-CW-tuned
0.766996130772254,distant non-CW-tuned
0.553699324214053,CW-tuned
-1,distant non-CW-tuned
0.285272309112623,distant non-CW-tuned
0.0964559853258382,distant non-CW-tuned
0.920365472216851,CW-tuned
-0.474985329162059,distant non-CW-tuned
-0.440152660549523,non-CW-tuned
-1,distant non-CW-tuned
-0.631668266200681,non-CW-tuned
-1,non-CW-tuned
0.367328455352718,CW-tuned
-1,non-CW-tuned
-0.133031263148204,non-CW-tuned
-1,distant non-CW-tuned
0.366650176686592,CW-tuned
-0.669179742373543,non-CW-tuned
0.354096413245513,CW-tuned
0.612798157840061,CW-tuned
0.671063265941419,CW-tuned
-0.35877687380421,non-CW-tuned
0.479336516396881,CW-tuned
0.00807329344070237,CW-tuned
-1,distant non-CW-tuned
0.0801560125052745,distant non-CW-tuned
0.0153627753427194,distant non-CW-tuned
0.487969203327999,CW-tuned
-1,non-CW-tuned
0.538590045723273,CW-tuned
0.203647741911549,CW-tuned
0.408915829940106,CW-tuned
0.250802215124553,CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
0.145604509309652,CW-tuned
-0.607883795503782,non-CW-tuned
-0.28960451691387,non-CW-tuned
-0.188029332454788,non-CW-tuned
0.313724026884758,CW-tuned
0.757366491063604,CW-tuned
0.614880470020567,CW-tuned
0.701348444295584,CW-tuned
0.136828894069605,CW-tuned
0.825154885006224,CW-tuned
-0.788363403184996,non-CW-tuned
-0.0091185173768238,non-CW-tuned
0.330892212034311,CW-tuned
0.400123509430821,CW-tuned
0.245499050002315,CW-tuned
0.618546698397222,CW-tuned
0.237152820849067,CW-tuned
-0.962383899048498,non-CW-tuned
0.978757547665857,CW-tuned
0.564273421485816,CW-tuned
1,CW-tuned
0.948186812506734,CW-tuned
0.925160671804878,CW-tuned
0.678861734255198,CW-tuned
NaN,distant non-CW-tuned
0.783809569668211,CW-tuned
0.684974160385375,CW-tuned
0.996275441599004,CW-tuned
0.895414228794258,CW-tuned
0.886300315223925,CW-tuned
0.119852870917842,CW-tuned
0.90418299241259,CW-tuned
0.826426178682862,CW-tuned
0.297297501956166,CW-tuned
-1,non-CW-tuned
-0.209556058195797,non-CW-tuned
-1,distant non-CW-tuned
-0.271403423791714,non-CW-tuned
0.0299562847578244,distant non-CW-tuned
0.157501160994096,CW-tuned
0.875566656582621,CW-tuned
-0.770652604407108,non-CW-tuned
0.718204033400713,CW-tuned
-1,non-CW-tuned
0.2946338893891,CW-tuned
0.439980379344963,CW-tuned
0.892592039518587,CW-tuned
0.880260264101778,CW-tuned
-1,distant non-CW-tuned
0.34589119981233,CW-tuned
NaN,distant non-CW-tuned
0.17893074600754,CW-tuned
-0.771190778038739,non-CW-tuned
0.708983463226917,CW-tuned
-0.761867464340682,non-CW-tuned
NaN,distant non-CW-tuned
-1,distant non-CW-tuned
-1,non-CW-tuned
-0.328183630778054,non-CW-tuned
-0.0778340341891685,non-CW-tuned
0.381735128251746,CW-tuned
0.28269366281546,CW-tuned
0.617004785031908,CW-tuned
-0.981840563788344,non-CW-tuned
-1,non-CW-tuned
0.184287622745,CW-tuned
-0.261116854252106,distant non-CW-tuned
0.124530079775814,CW-tuned
0.0739313380263506,CW-tuned
NaN,distant non-CW-tuned
-0.472342529571334,non-CW-tuned
-0.449087908841245,non-CW-tuned
-0.299807537377261,non-CW-tuned
0.466020513373071,CW-tuned
0.696702519044842,CW-tuned
0.607180935212427,CW-tuned
-0.0287772092054026,non-CW-tuned
0.560357354477895,CW-tuned
-1,distant non-CW-tuned
0.441046184442312,CW-tuned
-1,non-CW-tuned
0.338632365757459,CW-tuned
1,CW-tuned
0.146098134616522,CW-tuned
0.16839483508575,CW-tuned
0.128314093590298,CW-tuned
-0.968248054831751,non-CW-tuned
-0.774708127833714,non-CW-tuned
0.304566391442375,CW-tuned
-1,non-CW-tuned
-0.0766171486451908,non-CW-tuned
-0.549475270833987,non-CW-tuned
-1,non-CW-tuned
-1,distant non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-1,distant non-CW-tuned
-1,non-CW-tuned
-0.97941745676002,non-CW-tuned
0.217343656593422,distant non-CW-tuned
0.213635357317213,CW-tuned
-0.940418369067282,non-CW-tuned
-1,non-CW-tuned
-1,non-CW-tuned
-0.869275745406493,non-CW-tuned
0.582040967535012,CW-tuned
-1,non-CW-tuned
1,CW-tuned
-1,non-CW-tuned
-0.989525672168015,non-CW-tuned
-0.423548476579647,distant non-CW-tuned
-0.470458435039323,non-CW-tuned
0.524020011082966,CW-tuned
-0.518768739832651,distant non-CW-tuned
0.161990931102067,CW-tuned
-0.151365311904117,non-CW-tuned
-1,non-CW-tuned
-0.948502570156658,non-CW-tuned
-0.063116864690589,non-CW-tuned
1,CW-tuned
0.727831127684005,CW-tuned
0.411657030258735,CW-tuned
1,CW-tuned
0.830305115944016,CW-tuned
0.930072714811508,CW-tuned
0.00833206114146485,CW-tuned
0.264421433558559,CW-tuned
0.985590135172891,CW-tuned
0.777216066689441,CW-tuned
0.300438953858328,CW-tuned
-1,non-CW-tuned
-0.287607145810518,non-CW-tuned
0.675709634001587,CW-tuned
-1,non-CW-tuned
0.0790800507758561,CW-tuned
-0.502647656666916,non-CW-tuned
-0.416278108081097,non-CW-tuned
0.311135019403925,CW-tuned
0.787030650598836,CW-tuned
0.618382676407546,CW-tuned
0.914683932482701,CW-tuned
1,CW-tuned
0.869067758860069,CW-tuned
1,CW-tuned
0.0785159910654912,CW-tuned
-0.816795777224972,non-CW-tuned
0.114146613577388,CW-tuned
0.288796603590499,CW-tuned
0.8035705154271,CW-tuned
0.745751191326093,CW-tuned
0.363963532294269,CW-tuned
0.77945538187041,CW-tuned
1,CW-tuned
0.883475813027996,CW-tuned
0.747561107636716,CW-tuned
-1,distant non-CW-tuned
0.978342980759768,CW-tuned
0.266043819995207,CW-tuned
-0.141551271384661,non-CW-tuned
0.788466695684797,CW-tuned
